Tipo de microplástico,Coordenadas,Confianza,Número de píxeles
Line,178.0,106.0,203.0,125.0,0.65,6726
Fragment,970.0,1008.0,1008.0,1024.0,0.94,10478
Fragment,25.0,615.0,149.0,692.0,0.94,2327
Fragment,866.0,610.0,959.0,799.0,0.96,4293
Fragment,1087.0,311.0,1172.0,411.0,0.97,7432
Fragment,1212.0,512.0,1260.0,554.0,0.97,10959
Fragment,929.0,335.0,982.0,400.0,0.97,2586
Fragment,730.0,434.0,861.0,576.0,0.97,1298
Fragment,546.0,152.0,651.0,264.0,0.98,5280
Fragment,194.0,663.0,254.0,756.0,0.98,9141
Fragment,1210.0,956.0,1264.0,1019.0,0.98,6314
Fragment,1085.0,810.0,1197.0,957.0,0.98,405
Fragment,414.0,269.0,508.0,383.0,0.98,88
Line,630.0,747.0,866.0,983.0,0.74,8855
Fragment,784.0,283.0,909.0,418.0,0.97,7108
Fragment,522.0,394.0,607.0,479.0,0.98,5521
Fragment,1177.0,444.0,1259.0,534.0,0.98,12830
Fragment,445.0,609.0,596.0,724.0,0.98,4975
Fragment,1024.0,849.0,1125.0,935.0,0.98,4005
Fragment,673.0,327.0,755.0,466.0,0.98,9500
Fragment,927.0,405.0,1015.0,552.0,0.98,28234
Line,3.0,773.0,54.0,789.0,0.66,2355
Line,713.0,3.0,885.0,656.0,0.83,7442
Line,206.0,1.0,350.0,249.0,0.97,303
Fragment,265.0,188.0,340.0,259.0,0.72,3792
Pellet,264.0,188.0,338.0,259.0,0.91,3419
Pellet,27.0,385.0,104.0,450.0,0.94,3581
Pellet,331.0,47.0,397.0,119.0,0.95,3529
Pellet,979.0,486.0,1042.0,561.0,0.95,3863
Pellet,200.0,824.0,268.0,889.0,0.96,3833
Pellet,1032.0,88.0,1098.0,158.0,0.96,3949
Pellet,395.0,855.0,464.0,918.0,0.96,3856
Pellet,707.0,298.0,778.0,365.0,0.97,3758
Pellet,535.0,59.0,585.0,116.0,0.94,2617
Pellet,587.0,397.0,656.0,464.0,0.95,3183
Pellet,106.0,438.0,160.0,489.0,0.97,3338
Pellet,592.0,140.0,648.0,198.0,0.97,2476
Fragment,113.0,910.0,178.0,981.0,0.97,2238
Pellet,233.0,553.0,299.0,617.0,0.97,3631
Pellet,10.0,675.0,68.0,731.0,0.97,2233
Pellet,535.0,59.0,585.0,116.0,0.94,2617
Pellet,587.0,397.0,656.0,464.0,0.95,3183
Pellet,106.0,438.0,160.0,489.0,0.97,3338
Pellet,592.0,140.0,648.0,198.0,0.97,2476
Fragment,113.0,910.0,178.0,981.0,0.97,2238
Pellet,233.0,553.0,299.0,617.0,0.97,3631
Pellet,10.0,675.0,68.0,731.0,0.97,2233
Pellet,698.0,853.0,785.0,938.0,0.72,3295
Pellet,239.0,556.0,290.0,628.0,0.92,3852
Pellet,98.0,67.0,182.0,143.0,0.93,5336
Pellet,71.0,422.0,141.0,492.0,0.96,3048
Pellet,385.0,302.0,450.0,367.0,0.96,6085
